[47/500] train loss=0.016826, nmse(dB)=-13.5541 | val loss=0.019031, nmse(dB)=-13.2590 | 0.7s
[48/500] train loss=0.016829, nmse(dB)=-13.5272 | val loss=0.019165, nmse(dB)=-13.1969 | 0.7s
[49/500] train loss=0.016906, nmse(dB)=-13.5244 | val loss=0.018993, nmse(dB)=-13.2625 | 0.7s
[50/500] train loss=0.016796, nmse(dB)=-13.5627 | val loss=0.019034, nmse(dB)=-13.2437 | 0.7s
[51/500] train loss=0.016843, nmse(dB)=-13.5496 | val loss=0.018927, nmse(dB)=-13.2888 | 0.7s
[52/500] train loss=0.016845, nmse(dB)=-13.5318 | val loss=0.018992, nmse(dB)=-13.2631 | 0.7s
[53/500] train loss=0.016835, nmse(dB)=-13.5473 | val loss=0.018998, nmse(dB)=-13.2648 | 0.7s
[54/500] train loss=0.016850, nmse(dB)=-13.5377 | val loss=0.018991, nmse(dB)=-13.2386 | 0.7s
[55/500] train loss=0.016782, nmse(dB)=-13.5619 | val loss=0.018938, nmse(dB)=-13.2712 | 0.7s
[56/500] train loss=0.016922, nmse(dB)=-13.5132 | val loss=0.019011, nmse(dB)=-13.2525 | 0.7s
[57/500] train loss=0.016813, nmse(dB)=-13.5414 | val loss=0.019029, nmse(dB)=-13.2476 | 0.7s
[58/500] train loss=0.016774, nmse(dB)=-13.5621 | val loss=0.018899, nmse(dB)=-13.2865 | 0.7s
  ↳ saved bestc_channel_only_finetune.pt | best@58: val loss=0.018899, val nmse(dB)=-13.2865
[59/500] train loss=0.016821, nmse(dB)=-13.5513 | val loss=0.018974, nmse(dB)=-13.2820 | 0.7s
[60/500] train loss=0.016799, nmse(dB)=-13.5410 | val loss=0.018983, nmse(dB)=-13.2452 | 0.7s
[61/500] train loss=0.016783, nmse(dB)=-13.5598 | val loss=0.019015, nmse(dB)=-13.2606 | 0.7s
[62/500] train loss=0.016769, nmse(dB)=-13.5620 | val loss=0.018908, nmse(dB)=-13.2744 | 0.7s
[63/500] train loss=0.016848, nmse(dB)=-13.5433 | val loss=0.019028, nmse(dB)=-13.2295 | 0.7s
[64/500] train loss=0.016942, nmse(dB)=-13.5197 | val loss=0.019007, nmse(dB)=-13.2584 | 0.7s
[65/500] train loss=0.016879, nmse(dB)=-13.5172 | val loss=0.019037, nmse(dB)=-13.2529 | 0.7s
[66/500] train loss=0.016866, nmse(dB)=-13.5188 | val loss=0.018958, nmse(dB)=-13.2676 | 0.7s
[67/500] train loss=0.016742, nmse(dB)=-13.5700 | val loss=0.018956, nmse(dB)=-13.2638 | 0.7s
[68/500] train loss=0.016723, nmse(dB)=-13.5764 | val loss=0.018917, nmse(dB)=-13.2823 | 0.7s
[69/500] train loss=0.016802, nmse(dB)=-13.5440 | val loss=0.018867, nmse(dB)=-13.3046 | 0.7s
