=== LWM | Case1 SC-wise | scenes=1000 | train=47,232 | val=14,720 ===
[055/200] train loss=0.007684 nmse=-15.4717dB | val loss=0.022445 nmse=-10.9391dB | 4.3s
[056/200] train loss=0.007521 nmse=-15.5648dB | val loss=0.022613 nmse=-10.9012dB | 4.5s
[057/200] train loss=0.007328 nmse=-15.6790dB | val loss=0.022422 nmse=-10.9431dB | 4.4s
[058/200] train loss=0.007167 nmse=-15.7751dB | val loss=0.022487 nmse=-10.9269dB | 5.3s
[059/200] train loss=0.006997 nmse=-15.8785dB | val loss=0.022639 nmse=-10.8922dB | 5.4s
[060/200] train loss=0.006875 nmse=-15.9561dB | val loss=0.022562 nmse=-10.9066dB | 4.7s
[061/200] train loss=0.006739 nmse=-16.0417dB | val loss=0.022590 nmse=-10.9014dB | 5.5s
[062/200] train loss=0.006608 nmse=-16.1280dB | val loss=0.022723 nmse=-10.8749dB | 4.9s
[063/200] train loss=0.006473 nmse=-16.2178dB | val loss=0.022623 nmse=-10.8952dB | 5.0s
[064/200] train loss=0.006352 nmse=-16.2996dB | val loss=0.022933 nmse=-10.8358dB | 5.2s
[065/200] train loss=0.006260 nmse=-16.3632dB | val loss=0.022905 nmse=-10.8380dB | 5.4s
[066/200] train loss=0.006156 nmse=-16.4354dB | val loss=0.022729 nmse=-10.8769dB | 5.2s
[067/200] train loss=0.006063 nmse=-16.5017dB | val loss=0.022966 nmse=-10.8289dB | 4.9s
[068/200] train loss=0.005960 nmse=-16.5769dB | val loss=0.022874 nmse=-10.8430dB | 4.8s
[069/200] train loss=0.005895 nmse=-16.6233dB | val loss=0.022914 nmse=-10.8385dB | 5.6s
[070/200] train loss=0.005797 nmse=-16.6961dB | val loss=0.023027 nmse=-10.8142dB | 5.4s
[071/200] train loss=0.005729 nmse=-16.7480dB | val loss=0.023004 nmse=-10.8204dB | 5.5s
[072/200] train loss=0.005640 nmse=-16.8176dB | val loss=0.023389 nmse=-10.7449dB | 4.9s
[073/200] train loss=0.005565 nmse=-16.8742dB | val loss=0.023086 nmse=-10.8005dB | 5.3s
[074/200] train loss=0.005483 nmse=-16.9387dB | val loss=0.023283 nmse=-10.7625dB | 5.3s
[075/200] train loss=0.005421 nmse=-16.9882dB | val loss=0.023380 nmse=-10.7436dB | 5.3s
[076/200] train loss=0.005344 nmse=-17.0502dB | val loss=0.023310 nmse=-10.7579dB | 4.7s
[077/200] train loss=0.005288 nmse=-17.0943dB | val loss=0.023256 nmse=-10.7692dB | 5.3s
[078/200] train loss=0.005211 nmse=-17.1608dB | val loss=0.023487 nmse=-10.7300dB | 5.4s
[079/200] train loss=0.005157 nmse=-17.2048dB | val loss=0.023600 nmse=-10.7064dB | 5.1s
[080/200] train loss=0.005084 nmse=-17.2656dB | val loss=0.023462 nmse=-10.7301dB | 4.6s
[081/200] train loss=0.005027 nmse=-17.3156dB | val loss=0.023664 nmse=-10.6916dB | 4.5s
[082/200] train loss=0.004971 nmse=-17.3628dB | val loss=0.023802 nmse=-10.6671dB | 4.8s
[083/200] train loss=0.004907 nmse=-17.4206dB | val loss=0.023812 nmse=-10.6645dB | 4.5s
[084/200] train loss=0.004865 nmse=-17.4575dB | val loss=0.023985 nmse=-10.6293dB | 4.7s
[085/200] train loss=0.004810 nmse=-17.5068dB | val loss=0.024062 nmse=-10.6163dB | 5.0s
[086/200] train loss=0.004748 nmse=-17.5644dB | val loss=0.024135 nmse=-10.6040dB | 4.6s
[087/200] train loss=0.004700 nmse=-17.6078dB | val loss=0.024059 nmse=-10.6176dB | 4.9s
[088/200] train loss=0.004639 nmse=-17.6649dB | val loss=0.024019 nmse=-10.6201dB | 5.1s
[089/200] train loss=0.004599 nmse=-17.7013dB | val loss=0.024162 nmse=-10.5968dB | 5.5s
[090/200] train loss=0.004530 nmse=-17.7674dB | val loss=0.024164 nmse=-10.5992dB | 5.1s
[091/200] train loss=0.004492 nmse=-17.8031dB | val loss=0.024039 nmse=-10.6170dB | 4.7s
[092/200] train loss=0.004442 nmse=-17.8526dB | val loss=0.024231 nmse=-10.5800dB | 4.9s
[093/200] train loss=0.004395 nmse=-17.8985dB | val loss=0.024348 nmse=-10.5579dB | 5.2s
[094/200] train loss=0.004344 nmse=-17.9503dB | val loss=0.024526 nmse=-10.5295dB | 5.5s
[095/200] train loss=0.004284 nmse=-18.0106dB | val loss=0.024600 nmse=-10.5143dB | 5.4s
[096/200] train loss=0.004233 nmse=-18.0632dB | val loss=0.024575 nmse=-10.5215dB | 5.4s
[097/200] train loss=0.004188 nmse=-18.1068dB | val loss=0.024657 nmse=-10.5054dB | 5.0s
[098/200] train loss=0.004156 nmse=-18.1405dB | val loss=0.024886 nmse=-10.4654dB | 5.4s
[099/200] train loss=0.004108 nmse=-18.1919dB | val loss=0.024870 nmse=-10.4650dB | 5.4s
