=== lwm_fromScratch | Case1 SC-wise | scenes=1000 | train=47,232 | val=14,720 ===
[001/200] train loss=0.025671 nmse=-10.2342dB | val loss=0.017136 nmse=-11.9642dB | 21.5s
  -> saved case1_split3_lwm_fromScratch_scene1000_best.pt | best@1: val nmse=-11.9642dB
[002/200] train loss=0.018092 nmse=-11.7537dB | val loss=0.017087 nmse=-11.9766dB | 21.4s
  -> saved case1_split3_lwm_fromScratch_scene1000_best.pt | best@2: val nmse=-11.9766dB
[003/200] train loss=0.017307 nmse=-11.9464dB | val loss=0.017146 nmse=-11.9615dB | 21.4s
[004/200] train loss=0.017035 nmse=-12.0151dB | val loss=0.017069 nmse=-11.9813dB | 17.9s
  -> saved case1_split3_lwm_fromScratch_scene1000_best.pt | best@4: val nmse=-11.9813dB
[005/200] train loss=0.016900 nmse=-12.0496dB | val loss=0.017103 nmse=-11.9724dB | 15.0s
[006/200] train loss=0.016813 nmse=-12.0720dB | val loss=0.016989 nmse=-12.0015dB | 20.1s
  -> saved case1_split3_lwm_fromScratch_scene1000_best.pt | best@6: val nmse=-12.0015dB
[007/200] train loss=0.016747 nmse=-12.0892dB | val loss=0.017031 nmse=-11.9910dB | 21.6s
[008/200] train loss=0.016662 nmse=-12.1112dB | val loss=0.017133 nmse=-11.9649dB | 21.6s
[009/200] train loss=0.016368 nmse=-12.1886dB | val loss=0.017203 nmse=-11.9473dB | 21.5s
[010/200] train loss=0.015637 nmse=-12.3869dB | val loss=0.018001 nmse=-11.7502dB | 21.5s
[011/200] train loss=0.014433 nmse=-12.7350dB | val loss=0.018673 nmse=-11.5912dB | 21.7s
[012/200] train loss=0.013129 nmse=-13.1464dB | val loss=0.019356 nmse=-11.4350dB | 20.6s
[013/200] train loss=0.012066 nmse=-13.5130dB | val loss=0.019762 nmse=-11.3449dB | 21.3s
[014/200] train loss=0.011271 nmse=-13.8088dB | val loss=0.019912 nmse=-11.3120dB | 17.3s
[015/200] train loss=0.010630 nmse=-14.0631dB | val loss=0.020166 nmse=-11.2572dB | 21.3s
[016/200] train loss=0.010084 nmse=-14.2922dB | val loss=0.019836 nmse=-11.3287dB | 21.4s
[017/200] train loss=0.009552 nmse=-14.5275dB | val loss=0.020413 nmse=-11.2042dB | 21.6s
[018/200] train loss=0.009017 nmse=-14.7779dB | val loss=0.020601 nmse=-11.1644dB | 21.2s
[019/200] train loss=0.008524 nmse=-15.0219dB | val loss=0.020958 nmse=-11.0897dB | 21.3s
[020/200] train loss=0.008018 nmse=-15.2880dB | val loss=0.020769 nmse=-11.1292dB | 21.6s
[021/200] train loss=0.007551 nmse=-15.5485dB | val loss=0.020960 nmse=-11.0893dB | 20.4s
[022/200] train loss=0.007144 nmse=-15.7894dB | val loss=0.021111 nmse=-11.0582dB | 21.0s
[023/200] train loss=0.006754 nmse=-16.0331dB | val loss=0.021134 nmse=-11.0535dB | 21.4s
[024/200] train loss=0.006417 nmse=-16.2550dB | val loss=0.021671 nmse=-10.9445dB | 21.6s
[025/200] train loss=0.006147 nmse=-16.4422dB | val loss=0.021633 nmse=-10.9520dB | 21.1s
[026/200] train loss=0.005928 nmse=-16.5998dB | val loss=0.021802 nmse=-10.9183dB | 21.3s
[027/200] train loss=0.005723 nmse=-16.7520dB | val loss=0.022257 nmse=-10.8286dB | 21.5s
[028/200] train loss=0.005532 nmse=-16.8999dB | val loss=0.021943 nmse=-10.8903dB | 21.6s
[029/200] train loss=0.005381 nmse=-17.0197dB | val loss=0.022464 nmse=-10.7885dB | 21.5s
[030/200] train loss=0.005239 nmse=-17.1358dB | val loss=0.022371 nmse=-10.8064dB | 21.7s
[031/200] train loss=0.005095 nmse=-17.2572dB | val loss=0.022579 nmse=-10.7662dB | 21.6s
[032/200] train loss=0.004949 nmse=-17.3832dB | val loss=0.022432 nmse=-10.7945dB | 20.2s
[033/200] train loss=0.004823 nmse=-17.4950dB | val loss=0.022586 nmse=-10.7649dB | 21.6s
[034/200] train loss=0.004676 nmse=-17.6297dB | val loss=0.022935 nmse=-10.6983dB | 21.1s
[035/200] train loss=0.004543 nmse=-17.7547dB | val loss=0.023077 nmse=-10.6715dB | 20.1s
[036/200] train loss=0.004393 nmse=-17.9014dB | val loss=0.023134 nmse=-10.6607dB | 21.6s
[037/200] train loss=0.004244 nmse=-18.0509dB | val loss=0.023630 nmse=-10.5687dB | 21.7s
[038/200] train loss=0.004090 nmse=-18.2108dB | val loss=0.023798 nmse=-10.5379dB | 20.6s
[039/200] train loss=0.003928 nmse=-18.3870dB | val loss=0.023520 nmse=-10.5888dB | 21.5s
[040/200] train loss=0.003776 nmse=-18.5583dB | val loss=0.023658 nmse=-10.5636dB | 21.4s
[041/200] train loss=0.003620 nmse=-18.7412dB | val loss=0.024314 nmse=-10.4447dB | 21.0s
[042/200] train loss=0.003484 nmse=-18.9081dB | val loss=0.023957 nmse=-10.5089dB | 21.4s
[043/200] train loss=0.003341 nmse=-19.0898dB | val loss=0.024645 nmse=-10.3860dB | 21.7s
[044/200] train loss=0.003208 nmse=-19.2660dB | val loss=0.024617 nmse=-10.3910dB | 21.5s
[045/200] train loss=0.003108 nmse=-19.4036dB | val loss=0.024943 nmse=-10.3337dB | 21.1s
[046/200] train loss=0.002993 nmse=-19.5674dB | val loss=0.024471 nmse=-10.4168dB | 21.7s
[047/200] train loss=0.002878 nmse=-19.7371dB | val loss=0.024793 nmse=-10.3600dB | 21.7s
[048/200] train loss=0.002782 nmse=-19.8848dB | val loss=0.024681 nmse=-10.3796dB | 21.3s
[049/200] train loss=0.002688 nmse=-20.0345dB | val loss=0.025251 nmse=-10.2804dB | 21.5s
[050/200] train loss=0.002594 nmse=-20.1881dB | val loss=0.024958 nmse=-10.3311dB | 21.2s
[051/200] train loss=0.002508 nmse=-20.3352dB | val loss=0.024835 nmse=-10.3527dB | 21.8s
[052/200] train loss=0.002442 nmse=-20.4517dB | val loss=0.025041 nmse=-10.3167dB | 18.7s
[053/200] train loss=0.002364 nmse=-20.5926dB | val loss=0.025211 nmse=-10.2873dB | 20.3s
[054/200] train loss=0.002294 nmse=-20.7230dB | val loss=0.025265 nmse=-10.2780dB | 17.1s
