[47/500] train loss=0.016820, nmse(dB)=-13.5547 | val loss=0.018976, nmse(dB)=-13.2825 | 0.7s
[48/500] train loss=0.016805, nmse(dB)=-13.5547 | val loss=0.018938, nmse(dB)=-13.2758 | 0.7s
[49/500] train loss=0.016800, nmse(dB)=-13.5540 | val loss=0.018939, nmse(dB)=-13.2989 | 0.7s
[50/500] train loss=0.016797, nmse(dB)=-13.5511 | val loss=0.019020, nmse(dB)=-13.2590 | 0.7s
[51/500] train loss=0.016875, nmse(dB)=-13.5508 | val loss=0.018883, nmse(dB)=-13.2998 | 0.7s
[52/500] train loss=0.016808, nmse(dB)=-13.5441 | val loss=0.019001, nmse(dB)=-13.2587 | 0.7s
[53/500] train loss=0.016817, nmse(dB)=-13.5444 | val loss=0.018979, nmse(dB)=-13.2835 | 0.7s
[54/500] train loss=0.016821, nmse(dB)=-13.5494 | val loss=0.018933, nmse(dB)=-13.2659 | 0.7s
[55/500] train loss=0.016870, nmse(dB)=-13.5335 | val loss=0.018952, nmse(dB)=-13.2824 | 0.7s
[56/500] train loss=0.016784, nmse(dB)=-13.5570 | val loss=0.019071, nmse(dB)=-13.2288 | 0.7s
[57/500] train loss=0.016685, nmse(dB)=-13.5829 | val loss=0.018958, nmse(dB)=-13.2830 | 0.7s
[58/500] train loss=0.016758, nmse(dB)=-13.5627 | val loss=0.019010, nmse(dB)=-13.2494 | 0.7s
[59/500] train loss=0.016883, nmse(dB)=-13.5411 | val loss=0.019038, nmse(dB)=-13.2450 | 0.7s
[60/500] train loss=0.016830, nmse(dB)=-13.5359 | val loss=0.019108, nmse(dB)=-13.2239 | 0.7s
[61/500] train loss=0.016759, nmse(dB)=-13.5577 | val loss=0.018941, nmse(dB)=-13.2897 | 0.7s
[62/500] train loss=0.016743, nmse(dB)=-13.5680 | val loss=0.018951, nmse(dB)=-13.2850 | 0.7s
[63/500] train loss=0.016722, nmse(dB)=-13.5765 | val loss=0.018915, nmse(dB)=-13.2923 | 0.7s
[64/500] train loss=0.016706, nmse(dB)=-13.5787 | val loss=0.018941, nmse(dB)=-13.2781 | 0.7s
[65/500] train loss=0.016692, nmse(dB)=-13.6046 | val loss=0.018891, nmse(dB)=-13.2941 | 0.7s
[66/500] train loss=0.016676, nmse(dB)=-13.5952 | val loss=0.019033, nmse(dB)=-13.2639 | 0.7s
[67/500] train loss=0.016752, nmse(dB)=-13.5836 | val loss=0.018920, nmse(dB)=-13.2986 | 0.7s
[68/500] train loss=0.016791, nmse(dB)=-13.5430 | val loss=0.018936, nmse(dB)=-13.2831 | 0.7s
[69/500] train loss=0.016694, nmse(dB)=-13.5816 | val loss=0.018944, nmse(dB)=-13.2715 | 0.7s
[70/500] train loss=0.016819, nmse(dB)=-13.5764 | val loss=0.019013, nmse(dB)=-13.2583 | 0.7s
[71/500] train loss=0.016732, nmse(dB)=-13.5983 | val loss=0.018880, nmse(dB)=-13.3146 | 0.7s
[72/500] train loss=0.016597, nmse(dB)=-13.6195 | val loss=0.018926, nmse(dB)=-13.2839 | 0.7s
[73/500] train loss=0.016756, nmse(dB)=-13.5639 | val loss=0.019033, nmse(dB)=-13.2538 | 0.7s
[74/500] train loss=0.016660, nmse(dB)=-13.5894 | val loss=0.018951, nmse(dB)=-13.2728 | 0.7s
[75/500] train loss=0.016656, nmse(dB)=-13.6032 | val loss=0.018967, nmse(dB)=-13.2727 | 0.7s
[76/500] train loss=0.016715, nmse(dB)=-13.5622 | val loss=0.018981, nmse(dB)=-13.2619 | 0.7s
[77/500] train loss=0.016645, nmse(dB)=-13.5946 | val loss=0.019008, nmse(dB)=-13.2614 | 0.7s
[78/500] train loss=0.016687, nmse(dB)=-13.5799 | val loss=0.018930, nmse(dB)=-13.2726 | 0.7s
[79/500] train loss=0.016652, nmse(dB)=-13.5920 | val loss=0.018877, nmse(dB)=-13.2836 | 0.7s
[80/500] train loss=0.016672, nmse(dB)=-13.5710 | val loss=0.018928, nmse(dB)=-13.2849 | 0.7s
[81/500] train loss=0.016707, nmse(dB)=-13.5768 | val loss=0.018936, nmse(dB)=-13.2716 | 0.7s
[82/500] train loss=0.016589, nmse(dB)=-13.6064 | val loss=0.018918, nmse(dB)=-13.2883 | 0.7s
[83/500] train loss=0.016591, nmse(dB)=-13.5941 | val loss=0.019012, nmse(dB)=-13.2435 | 0.7s
[84/500] train loss=0.016614, nmse(dB)=-13.5968 | val loss=0.018965, nmse(dB)=-13.2707 | 0.7s
[85/500] train loss=0.016564, nmse(dB)=-13.6159 | val loss=0.019039, nmse(dB)=-13.2576 | 0.7s
[86/500] train loss=0.016632, nmse(dB)=-13.6107 | val loss=0.018901, nmse(dB)=-13.2911 | 0.7s
[87/500] train loss=0.016723, nmse(dB)=-13.5969 | val loss=0.018959, nmse(dB)=-13.2691 | 0.7s
[88/500] train loss=0.016544, nmse(dB)=-13.6194 | val loss=0.019047, nmse(dB)=-13.2400 | 0.7s
[89/500] train loss=0.016627, nmse(dB)=-13.5912 | val loss=0.019065, nmse(dB)=-13.2412 | 0.7s
[90/500] train loss=0.016579, nmse(dB)=-13.6204 | val loss=0.018943, nmse(dB)=-13.2698 | 0.7s
[91/500] train loss=0.016610, nmse(dB)=-13.5760 | val loss=0.018969, nmse(dB)=-13.2782 | 0.7s
[92/500] train loss=0.016535, nmse(dB)=-13.6101 | val loss=0.019017, nmse(dB)=-13.2373 | 0.7s
[93/500] train loss=0.016677, nmse(dB)=-13.5763 | val loss=0.018958, nmse(dB)=-13.2810 | 0.7s
[94/500] train loss=0.016633, nmse(dB)=-13.5706 | val loss=0.018941, nmse(dB)=-13.2621 | 0.7s
[95/500] train loss=0.016575, nmse(dB)=-13.5911 | val loss=0.019036, nmse(dB)=-13.2418 | 0.7s
[96/500] train loss=0.016584, nmse(dB)=-13.5781 | val loss=0.018990, nmse(dB)=-13.2506 | 0.7s
