=== LSTM | Case1 SC-wise | scenes=1000 | train=47,232 | val=14,720 ===
[001/200] train loss=0.024812 nmse=-10.3820dB | val loss=0.017001 nmse=-11.9985dB | 2.2s
  -> saved case1_split3_lstm_scene1000_best.pt | best@1: val nmse=-11.9985dB
[002/200] train loss=0.016668 nmse=-12.1097dB | val loss=0.017018 nmse=-11.9943dB | 2.1s
[003/200] train loss=0.016619 nmse=-12.1225dB | val loss=0.017246 nmse=-11.9364dB | 2.1s
[004/200] train loss=0.016567 nmse=-12.1362dB | val loss=0.017021 nmse=-11.9934dB | 2.1s
[005/200] train loss=0.016440 nmse=-12.1696dB | val loss=0.017089 nmse=-11.9762dB | 2.1s
[006/200] train loss=0.016270 nmse=-12.2146dB | val loss=0.017253 nmse=-11.9347dB | 2.0s
[007/200] train loss=0.016078 nmse=-12.2662dB | val loss=0.017621 nmse=-11.8429dB | 2.0s
[008/200] train loss=0.015846 nmse=-12.3293dB | val loss=0.017442 nmse=-11.8873dB | 2.1s
[009/200] train loss=0.015613 nmse=-12.3938dB | val loss=0.017532 nmse=-11.8650dB | 2.0s
[010/200] train loss=0.015430 nmse=-12.4450dB | val loss=0.017732 nmse=-11.8157dB | 2.0s
[011/200] train loss=0.015235 nmse=-12.5001dB | val loss=0.017771 nmse=-11.8061dB | 2.1s
[012/200] train loss=0.015002 nmse=-12.5671dB | val loss=0.018231 nmse=-11.6952dB | 2.1s
[013/200] train loss=0.014758 nmse=-12.6384dB | val loss=0.018747 nmse=-11.5740dB | 2.1s
[014/200] train loss=0.014487 nmse=-12.7188dB | val loss=0.018952 nmse=-11.5267dB | 2.1s
[015/200] train loss=0.014150 nmse=-12.8212dB | val loss=0.019422 nmse=-11.4203dB | 2.1s
[016/200] train loss=0.013745 nmse=-12.9473dB | val loss=0.019749 nmse=-11.3477dB | 2.1s
[017/200] train loss=0.013285 nmse=-13.0951dB | val loss=0.020003 nmse=-11.2923dB | 2.1s
[018/200] train loss=0.012788 nmse=-13.2605dB | val loss=0.020673 nmse=-11.1492dB | 2.1s
[019/200] train loss=0.012287 nmse=-13.4341dB | val loss=0.020887 nmse=-11.1044dB | 2.1s
[020/200] train loss=0.011808 nmse=-13.6070dB | val loss=0.020880 nmse=-11.1059dB | 2.1s
