=== lwm_finetune | Case1 SC-wise | scenes=1000 | train=47,232 | val=14,720 ===
[001/200] train loss=0.021247 nmse=-11.0556dB | val loss=0.017196 nmse=-11.9491dB | 17.8s
  -> saved case1_split3_lwm_finetune_scene1000_best.pt | best@1: val nmse=-11.9491dB
[002/200] train loss=0.016750 nmse=-12.0884dB | val loss=0.017115 nmse=-11.9695dB | 18.4s
  -> saved case1_split3_lwm_finetune_scene1000_best.pt | best@2: val nmse=-11.9695dB
[003/200] train loss=0.016646 nmse=-12.1156dB | val loss=0.017148 nmse=-11.9612dB | 18.8s
[004/200] train loss=0.016512 nmse=-12.1506dB | val loss=0.017325 nmse=-11.9166dB | 19.3s
[005/200] train loss=0.016289 nmse=-12.2096dB | val loss=0.017440 nmse=-11.8879dB | 19.4s
[006/200] train loss=0.015931 nmse=-12.3061dB | val loss=0.017423 nmse=-11.8919dB | 18.0s
[007/200] train loss=0.015488 nmse=-12.4287dB | val loss=0.017669 nmse=-11.8313dB | 18.6s
[008/200] train loss=0.014962 nmse=-12.5786dB | val loss=0.017817 nmse=-11.7949dB | 19.2s
[009/200] train loss=0.014420 nmse=-12.7390dB | val loss=0.018301 nmse=-11.6785dB | 20.0s
[010/200] train loss=0.013927 nmse=-12.8899dB | val loss=0.018747 nmse=-11.5739dB | 19.2s
[011/200] train loss=0.013401 nmse=-13.0572dB | val loss=0.019115 nmse=-11.4895dB | 18.3s
[012/200] train loss=0.012988 nmse=-13.1932dB | val loss=0.018951 nmse=-11.5270dB | 18.6s
[013/200] train loss=0.012563 nmse=-13.3378dB | val loss=0.019320 nmse=-11.4433dB | 19.8s
[014/200] train loss=0.012213 nmse=-13.4604dB | val loss=0.019782 nmse=-11.3406dB | 19.8s
[015/200] train loss=0.011881 nmse=-13.5799dB | val loss=0.019534 nmse=-11.3952dB | 18.4s
[016/200] train loss=0.011603 nmse=-13.6829dB | val loss=0.019512 nmse=-11.4003dB | 18.9s
[017/200] train loss=0.011338 nmse=-13.7833dB | val loss=0.019487 nmse=-11.4057dB | 16.7s
[018/200] train loss=0.011104 nmse=-13.8738dB | val loss=0.019733 nmse=-11.3513dB | 18.2s
[019/200] train loss=0.010901 nmse=-13.9541dB | val loss=0.019655 nmse=-11.3686dB | 18.6s
[020/200] train loss=0.010679 nmse=-14.0434dB | val loss=0.019738 nmse=-11.3502dB | 19.0s
[021/200] train loss=0.010474 nmse=-14.1275dB | val loss=0.019487 nmse=-11.4057dB | 18.4s
[022/200] train loss=0.010269 nmse=-14.2134dB | val loss=0.019786 nmse=-11.3396dB | 19.1s
[023/200] train loss=0.010057 nmse=-14.3037dB | val loss=0.019802 nmse=-11.3362dB | 18.6s
[024/200] train loss=0.009831 nmse=-14.4027dB | val loss=0.019732 nmse=-11.3515dB | 18.6s
[025/200] train loss=0.009634 nmse=-14.4905dB | val loss=0.019698 nmse=-11.3590dB | 19.4s
[026/200] train loss=0.009417 nmse=-14.5895dB | val loss=0.019877 nmse=-11.3197dB | 19.2s
[027/200] train loss=0.009232 nmse=-14.6754dB | val loss=0.020046 nmse=-11.2829dB | 18.7s
[028/200] train loss=0.009025 nmse=-14.7741dB | val loss=0.020366 nmse=-11.2142dB | 17.6s
[029/200] train loss=0.008813 nmse=-14.8774dB | val loss=0.019966 nmse=-11.3003dB | 16.8s
[030/200] train loss=0.008619 nmse=-14.9743dB | val loss=0.020434 nmse=-11.1997dB | 18.9s
[031/200] train loss=0.008422 nmse=-15.0746dB | val loss=0.020549 nmse=-11.1753dB | 18.5s
[032/200] train loss=0.008224 nmse=-15.1778dB | val loss=0.020608 nmse=-11.1629dB | 19.0s
[033/200] train loss=0.008024 nmse=-15.2844dB | val loss=0.020644 nmse=-11.1554dB | 19.0s
[034/200] train loss=0.007817 nmse=-15.3984dB | val loss=0.020650 nmse=-11.1540dB | 20.0s
[035/200] train loss=0.007616 nmse=-15.5111dB | val loss=0.020665 nmse=-11.1510dB | 19.3s
[036/200] train loss=0.007460 nmse=-15.6014dB | val loss=0.020949 nmse=-11.0917dB | 19.6s
[037/200] train loss=0.007304 nmse=-15.6932dB | val loss=0.020727 nmse=-11.1380dB | 18.2s
[038/200] train loss=0.007131 nmse=-15.7968dB | val loss=0.021008 nmse=-11.0794dB | 17.9s
[039/200] train loss=0.006988 nmse=-15.8852dB | val loss=0.021114 nmse=-11.0576dB | 18.4s
[040/200] train loss=0.006847 nmse=-15.9738dB | val loss=0.021277 nmse=-11.0241dB | 18.6s
[041/200] train loss=0.006732 nmse=-16.0468dB | val loss=0.020901 nmse=-11.1015dB | 18.7s
[042/200] train loss=0.006595 nmse=-16.1363dB | val loss=0.021149 nmse=-11.0503dB | 19.2s
[043/200] train loss=0.006484 nmse=-16.2098dB | val loss=0.021293 nmse=-11.0208dB | 17.4s
[044/200] train loss=0.006374 nmse=-16.2845dB | val loss=0.021098 nmse=-11.0608dB | 20.3s
[045/200] train loss=0.006286 nmse=-16.3449dB | val loss=0.021074 nmse=-11.0658dB | 19.0s
[046/200] train loss=0.006176 nmse=-16.4214dB | val loss=0.021583 nmse=-10.9621dB | 18.1s
[047/200] train loss=0.006062 nmse=-16.5023dB | val loss=0.021037 nmse=-11.0734dB | 19.3s
[048/200] train loss=0.005983 nmse=-16.5592dB | val loss=0.021537 nmse=-10.9715dB | 19.3s
[049/200] train loss=0.005894 nmse=-16.6244dB | val loss=0.021478 nmse=-10.9834dB | 18.1s
[050/200] train loss=0.005798 nmse=-16.6958dB | val loss=0.021599 nmse=-10.9590dB | 18.9s
[051/200] train loss=0.005717 nmse=-16.7566dB | val loss=0.021575 nmse=-10.9637dB | 18.7s
[052/200] train loss=0.005645 nmse=-16.8123dB | val loss=0.021880 nmse=-10.9027dB | 18.2s
[053/200] train loss=0.005561 nmse=-16.8767dB | val loss=0.021735 nmse=-10.9316dB | 20.2s
[054/200] train loss=0.005479 nmse=-16.9416dB | val loss=0.021903 nmse=-10.8981dB | 18.2s
[055/200] train loss=0.005398 nmse=-17.0062dB | val loss=0.021998 nmse=-10.8794dB | 18.9s
[056/200] train loss=0.005328 nmse=-17.0628dB | val loss=0.021873 nmse=-10.9042dB | 19.2s
[057/200] train loss=0.005257 nmse=-17.1212dB | val loss=0.022124 nmse=-10.8545dB | 19.4s
[058/200] train loss=0.005172 nmse=-17.1919dB | val loss=0.021975 nmse=-10.8840dB | 19.5s
[059/200] train loss=0.005086 nmse=-17.2646dB | val loss=0.022087 nmse=-10.8620dB | 18.8s
[060/200] train loss=0.005031 nmse=-17.3121dB | val loss=0.021939 nmse=-10.8911dB | 20.1s
[061/200] train loss=0.004955 nmse=-17.3781dB | val loss=0.022323 nmse=-10.8156dB | 18.9s
[062/200] train loss=0.004888 nmse=-17.4372dB | val loss=0.022427 nmse=-10.7956dB | 17.6s
[063/200] train loss=0.004808 nmse=-17.5087dB | val loss=0.022452 nmse=-10.7906dB | 19.4s
[064/200] train loss=0.004745 nmse=-17.5663dB | val loss=0.022439 nmse=-10.7933dB | 17.8s
[065/200] train loss=0.004675 nmse=-17.6303dB | val loss=0.022332 nmse=-10.8139dB | 18.8s
[066/200] train loss=0.004608 nmse=-17.6932dB | val loss=0.022210 nmse=-10.8377dB | 18.6s
[067/200] train loss=0.004528 nmse=-17.7694dB | val loss=0.022531 nmse=-10.7755dB | 19.2s
[068/200] train loss=0.004469 nmse=-17.8269dB | val loss=0.022591 nmse=-10.7638dB | 19.5s
[069/200] train loss=0.004401 nmse=-17.8934dB | val loss=0.022495 nmse=-10.7824dB | 18.8s
[070/200] train loss=0.004340 nmse=-17.9540dB | val loss=0.022747 nmse=-10.7341dB | 19.5s
[071/200] train loss=0.004276 nmse=-18.0177dB | val loss=0.022549 nmse=-10.7719dB | 19.9s
[072/200] train loss=0.004214 nmse=-18.0820dB | val loss=0.022857 nmse=-10.7131dB | 18.1s
[073/200] train loss=0.004171 nmse=-18.1260dB | val loss=0.022524 nmse=-10.7769dB | 19.1s
[074/200] train loss=0.004100 nmse=-18.2005dB | val loss=0.022468 nmse=-10.7875dB | 18.3s
[075/200] train loss=0.004047 nmse=-18.2572dB | val loss=0.023030 nmse=-10.6803dB | 17.4s
[076/200] train loss=0.003996 nmse=-18.3125dB | val loss=0.022348 nmse=-10.8108dB | 17.8s
[077/200] train loss=0.003947 nmse=-18.3662dB | val loss=0.023017 nmse=-10.6827dB | 18.0s
[078/200] train loss=0.003893 nmse=-18.4263dB | val loss=0.022690 nmse=-10.7449dB | 19.2s
[079/200] train loss=0.003841 nmse=-18.4843dB | val loss=0.023427 nmse=-10.6060dB | 18.6s
