=== lwm_finetune | Case1 SC-wise | scenes=1000 | train=47,232 | val=14,720 ===
[057/200] train loss=0.010997 nmse=-13.9161dB | val loss=0.020263 nmse=-11.3321dB | 5.2s
[058/200] train loss=0.010945 nmse=-13.9353dB | val loss=0.020358 nmse=-11.3038dB | 5.0s
[059/200] train loss=0.010861 nmse=-13.9707dB | val loss=0.020435 nmse=-11.2921dB | 5.2s
[060/200] train loss=0.010809 nmse=-13.9907dB | val loss=0.020200 nmse=-11.3398dB | 5.6s
[061/200] train loss=0.010739 nmse=-14.0180dB | val loss=0.020321 nmse=-11.3136dB | 5.1s
[062/200] train loss=0.010691 nmse=-14.0390dB | val loss=0.020586 nmse=-11.2572dB | 4.6s
[063/200] train loss=0.010622 nmse=-14.0649dB | val loss=0.020580 nmse=-11.2600dB | 4.6s
[064/200] train loss=0.010586 nmse=-14.0807dB | val loss=0.020357 nmse=-11.3045dB | 4.8s
[065/200] train loss=0.010536 nmse=-14.1027dB | val loss=0.020427 nmse=-11.2895dB | 5.4s
[066/200] train loss=0.010466 nmse=-14.1311dB | val loss=0.020597 nmse=-11.2588dB | 5.3s
[067/200] train loss=0.010399 nmse=-14.1586dB | val loss=0.020626 nmse=-11.2430dB | 5.2s
[068/200] train loss=0.010368 nmse=-14.1712dB | val loss=0.020661 nmse=-11.2411dB | 5.5s
[069/200] train loss=0.010306 nmse=-14.1969dB | val loss=0.020645 nmse=-11.2439dB | 5.1s
[070/200] train loss=0.010256 nmse=-14.2193dB | val loss=0.020713 nmse=-11.2243dB | 5.2s
[071/200] train loss=0.010190 nmse=-14.2470dB | val loss=0.020595 nmse=-11.2493dB | 4.9s
[072/200] train loss=0.010136 nmse=-14.2707dB | val loss=0.020401 nmse=-11.2983dB | 4.6s
[073/200] train loss=0.010088 nmse=-14.2893dB | val loss=0.020785 nmse=-11.2149dB | 4.9s
[074/200] train loss=0.010039 nmse=-14.3103dB | val loss=0.020691 nmse=-11.2317dB | 5.2s
[075/200] train loss=0.009983 nmse=-14.3356dB | val loss=0.020883 nmse=-11.1945dB | 5.4s
[076/200] train loss=0.009944 nmse=-14.3530dB | val loss=0.020668 nmse=-11.2327dB | 5.5s
[077/200] train loss=0.009875 nmse=-14.3836dB | val loss=0.020483 nmse=-11.2725dB | 5.3s
[078/200] train loss=0.009823 nmse=-14.4059dB | val loss=0.020648 nmse=-11.2330dB | 5.6s
[079/200] train loss=0.009776 nmse=-14.4275dB | val loss=0.020675 nmse=-11.2384dB | 5.3s
[080/200] train loss=0.009734 nmse=-14.4460dB | val loss=0.020668 nmse=-11.2309dB | 5.3s
[081/200] train loss=0.009699 nmse=-14.4620dB | val loss=0.020703 nmse=-11.2245dB | 5.6s
[082/200] train loss=0.009617 nmse=-14.4980dB | val loss=0.020747 nmse=-11.2115dB | 5.4s
[083/200] train loss=0.009586 nmse=-14.5123dB | val loss=0.020851 nmse=-11.1993dB | 4.9s
[084/200] train loss=0.009545 nmse=-14.5309dB | val loss=0.020860 nmse=-11.2010dB | 5.0s
[085/200] train loss=0.009470 nmse=-14.5653dB | val loss=0.021012 nmse=-11.1616dB | 5.4s
[086/200] train loss=0.009442 nmse=-14.5782dB | val loss=0.021026 nmse=-11.1596dB | 4.7s
[087/200] train loss=0.009377 nmse=-14.6077dB | val loss=0.020786 nmse=-11.2091dB | 5.6s
[088/200] train loss=0.009362 nmse=-14.6144dB | val loss=0.020798 nmse=-11.2035dB | 4.8s
[089/200] train loss=0.009295 nmse=-14.6465dB | val loss=0.020996 nmse=-11.1629dB | 4.9s
[090/200] train loss=0.009247 nmse=-14.6683dB | val loss=0.020900 nmse=-11.1868dB | 5.1s
[091/200] train loss=0.009202 nmse=-14.6893dB | val loss=0.020834 nmse=-11.2000dB | 5.5s
[092/200] train loss=0.009135 nmse=-14.7206dB | val loss=0.020600 nmse=-11.2512dB | 5.2s
[093/200] train loss=0.009112 nmse=-14.7330dB | val loss=0.020826 nmse=-11.1985dB | 4.9s
[094/200] train loss=0.009071 nmse=-14.7512dB | val loss=0.021059 nmse=-11.1563dB | 5.0s
[095/200] train loss=0.009015 nmse=-14.7799dB | val loss=0.021043 nmse=-11.1570dB | 5.4s
[096/200] train loss=0.008986 nmse=-14.7932dB | val loss=0.021142 nmse=-11.1381dB | 5.0s
[097/200] train loss=0.008938 nmse=-14.8160dB | val loss=0.020987 nmse=-11.1670dB | 5.4s
[098/200] train loss=0.008907 nmse=-14.8311dB | val loss=0.020840 nmse=-11.1988dB | 5.2s
[099/200] train loss=0.008843 nmse=-14.8628dB | val loss=0.020766 nmse=-11.2096dB | 4.6s
[100/200] train loss=0.008815 nmse=-14.8762dB | val loss=0.021009 nmse=-11.1623dB | 4.6s
[101/200] train loss=0.008759 nmse=-14.9049dB | val loss=0.020944 nmse=-11.1764dB | 5.4s
[102/200] train loss=0.008722 nmse=-14.9222dB | val loss=0.021038 nmse=-11.1513dB | 4.9s
[103/200] train loss=0.008670 nmse=-14.9474dB | val loss=0.020637 nmse=-11.2371dB | 5.4s
[104/200] train loss=0.008647 nmse=-14.9599dB | val loss=0.020939 nmse=-11.1774dB | 5.5s
[105/200] train loss=0.008600 nmse=-14.9842dB | val loss=0.021075 nmse=-11.1457dB | 4.5s
[106/200] train loss=0.008576 nmse=-14.9956dB | val loss=0.020885 nmse=-11.1878dB | 4.7s
[107/200] train loss=0.008533 nmse=-15.0183dB | val loss=0.020812 nmse=-11.2015dB | 5.0s
[108/200] train loss=0.008491 nmse=-15.0392dB | val loss=0.021135 nmse=-11.1371dB | 5.5s
[109/200] train loss=0.008453 nmse=-15.0581dB | val loss=0.020937 nmse=-11.1718dB | 4.5s
[110/200] train loss=0.008414 nmse=-15.0780dB | val loss=0.021023 nmse=-11.1545dB | 5.1s
[111/200] train loss=0.008402 nmse=-15.0848dB | val loss=0.021002 nmse=-11.1624dB | 5.5s
[112/200] train loss=0.008340 nmse=-15.1179dB | val loss=0.021091 nmse=-11.1440dB | 5.5s
[113/200] train loss=0.008317 nmse=-15.1288dB | val loss=0.020977 nmse=-11.1705dB | 5.4s
[114/200] train loss=0.008280 nmse=-15.1485dB | val loss=0.020965 nmse=-11.1700dB | 4.4s
[115/200] train loss=0.008236 nmse=-15.1720dB | val loss=0.020922 nmse=-11.1782dB | 5.6s
[116/200] train loss=0.008225 nmse=-15.1771dB | val loss=0.020881 nmse=-11.1866dB | 5.4s
[117/200] train loss=0.008188 nmse=-15.1968dB | val loss=0.020912 nmse=-11.1780dB | 5.6s
[118/200] train loss=0.008157 nmse=-15.2135dB | val loss=0.021095 nmse=-11.1400dB | 4.9s
[119/200] train loss=0.008118 nmse=-15.2335dB | val loss=0.020894 nmse=-11.1813dB | 4.6s
[120/200] train loss=0.008104 nmse=-15.2420dB | val loss=0.021064 nmse=-11.1506dB | 5.4s
[121/200] train loss=0.008083 nmse=-15.2518dB | val loss=0.020964 nmse=-11.1677dB | 5.1s
[122/200] train loss=0.008052 nmse=-15.2698dB | val loss=0.021031 nmse=-11.1522dB | 5.1s
[123/200] train loss=0.008022 nmse=-15.2865dB | val loss=0.021149 nmse=-11.1288dB | 5.3s
[124/200] train loss=0.008010 nmse=-15.2919dB | val loss=0.021078 nmse=-11.1430dB | 5.5s
[125/200] train loss=0.007983 nmse=-15.3065dB | val loss=0.020850 nmse=-11.1928dB | 5.4s
[126/200] train loss=0.007955 nmse=-15.3223dB | val loss=0.021043 nmse=-11.1519dB | 5.6s
[127/200] train loss=0.007940 nmse=-15.3305dB | val loss=0.020828 nmse=-11.1948dB | 5.6s
[128/200] train loss=0.007918 nmse=-15.3428dB | val loss=0.020994 nmse=-11.1630dB | 4.9s
[129/200] train loss=0.007884 nmse=-15.3607dB | val loss=0.021114 nmse=-11.1353dB | 5.0s
[130/200] train loss=0.007870 nmse=-15.3681dB | val loss=0.021038 nmse=-11.1535dB | 5.6s
[131/200] train loss=0.007826 nmse=-15.3919dB | val loss=0.021170 nmse=-11.1263dB | 5.4s
[132/200] train loss=0.007805 nmse=-15.4053dB | val loss=0.021040 nmse=-11.1540dB | 5.0s
[133/200] train loss=0.007798 nmse=-15.4088dB | val loss=0.021182 nmse=-11.1214dB | 5.1s
[134/200] train loss=0.007787 nmse=-15.4151dB | val loss=0.021154 nmse=-11.1266dB | 4.8s
[135/200] train loss=0.007756 nmse=-15.4319dB | val loss=0.021129 nmse=-11.1319dB | 5.8s
[136/200] train loss=0.007747 nmse=-15.4380dB | val loss=0.021123 nmse=-11.1401dB | 5.6s
