[44/500] train loss=0.016033, nmse(dB)=-13.9139 | val loss=0.016200, nmse(dB)=-13.7925 | 13.4s
[45/500] train loss=0.016057, nmse(dB)=-13.9032 | val loss=0.016211, nmse(dB)=-13.7826 | 13.4s
[46/500] train loss=0.016077, nmse(dB)=-13.8983 | val loss=0.016190, nmse(dB)=-13.7993 | 13.2s
[47/500] train loss=0.016059, nmse(dB)=-13.9104 | val loss=0.016190, nmse(dB)=-13.8007 | 13.5s
[48/500] train loss=0.016084, nmse(dB)=-13.9008 | val loss=0.016223, nmse(dB)=-13.7764 | 13.6s
[49/500] train loss=0.016084, nmse(dB)=-13.9084 | val loss=0.016207, nmse(dB)=-13.7838 | 13.2s
[50/500] train loss=0.016086, nmse(dB)=-13.9009 | val loss=0.016198, nmse(dB)=-13.7939 | 13.3s
[51/500] train loss=0.016086, nmse(dB)=-13.9077 | val loss=0.016175, nmse(dB)=-13.8028 | 13.2s
  ↳ saved best_channel_transformer2_fintune_scene7000.pt | best@51: val loss=0.016175, val nmse(dB)=-13.8028
[52/500] train loss=0.016043, nmse(dB)=-13.9134 | val loss=0.016186, nmse(dB)=-13.7971 | 13.3s
[53/500] train loss=0.016078, nmse(dB)=-13.9031 | val loss=0.016221, nmse(dB)=-13.7791 | 13.2s
[54/500] train loss=0.016066, nmse(dB)=-13.9058 | val loss=0.016209, nmse(dB)=-13.7807 | 13.2s
[55/500] train loss=0.016053, nmse(dB)=-13.9086 | val loss=0.016211, nmse(dB)=-13.7869 | 13.3s
[56/500] train loss=0.016029, nmse(dB)=-13.9143 | val loss=0.016221, nmse(dB)=-13.7713 | 13.2s
[57/500] train loss=0.016061, nmse(dB)=-13.9076 | val loss=0.016206, nmse(dB)=-13.7858 | 13.2s
[58/500] train loss=0.016072, nmse(dB)=-13.9083 | val loss=0.016215, nmse(dB)=-13.7842 | 13.3s
[59/500] train loss=0.016101, nmse(dB)=-13.9080 | val loss=0.016207, nmse(dB)=-13.7853 | 13.1s
[60/500] train loss=0.016037, nmse(dB)=-13.9135 | val loss=0.016222, nmse(dB)=-13.7794 | 13.5s
[61/500] train loss=0.016027, nmse(dB)=-13.9173 | val loss=0.016268, nmse(dB)=-13.7554 | 13.2s
[62/500] train loss=0.016051, nmse(dB)=-13.9129 | val loss=0.016207, nmse(dB)=-13.7916 | 13.2s
