=== lwm_fromScratch | Case1 SC-wise | scenes=1000 | train=47,232 | val=14,720 ===
[056/200] train loss=0.007665 nmse=-15.4838dB | val loss=0.022122 nmse=-10.9908dB | 5.1s
[057/200] train loss=0.007462 nmse=-15.5992dB | val loss=0.022536 nmse=-10.9089dB | 4.6s
[058/200] train loss=0.007313 nmse=-15.6879dB | val loss=0.022240 nmse=-10.9619dB | 5.5s
[059/200] train loss=0.007131 nmse=-15.7975dB | val loss=0.022560 nmse=-10.8999dB | 4.7s
[060/200] train loss=0.006962 nmse=-15.9001dB | val loss=0.022753 nmse=-10.8647dB | 5.4s
[061/200] train loss=0.006842 nmse=-15.9777dB | val loss=0.022669 nmse=-10.8816dB | 4.9s
[062/200] train loss=0.006689 nmse=-16.0750dB | val loss=0.022657 nmse=-10.8812dB | 5.2s
[063/200] train loss=0.006561 nmse=-16.1582dB | val loss=0.023059 nmse=-10.8107dB | 4.6s
[064/200] train loss=0.006439 nmse=-16.2399dB | val loss=0.022611 nmse=-10.8854dB | 5.4s
[065/200] train loss=0.006317 nmse=-16.3224dB | val loss=0.022982 nmse=-10.8202dB | 4.9s
[066/200] train loss=0.006206 nmse=-16.4004dB | val loss=0.023191 nmse=-10.7816dB | 5.5s
[067/200] train loss=0.006105 nmse=-16.4715dB | val loss=0.023490 nmse=-10.7208dB | 5.3s
[068/200] train loss=0.006014 nmse=-16.5379dB | val loss=0.023349 nmse=-10.7524dB | 4.9s
[069/200] train loss=0.005904 nmse=-16.6175dB | val loss=0.023602 nmse=-10.7001dB | 5.4s
[070/200] train loss=0.005822 nmse=-16.6780dB | val loss=0.023658 nmse=-10.6868dB | 5.8s
[071/200] train loss=0.005750 nmse=-16.7302dB | val loss=0.023778 nmse=-10.6677dB | 5.3s
[072/200] train loss=0.005681 nmse=-16.7861dB | val loss=0.023869 nmse=-10.6539dB | 5.4s
[073/200] train loss=0.005590 nmse=-16.8565dB | val loss=0.023509 nmse=-10.7144dB | 5.1s
[074/200] train loss=0.005501 nmse=-16.9250dB | val loss=0.024300 nmse=-10.5725dB | 5.6s
[075/200] train loss=0.005430 nmse=-16.9800dB | val loss=0.023899 nmse=-10.6475dB | 5.7s
[076/200] train loss=0.005354 nmse=-17.0422dB | val loss=0.023904 nmse=-10.6433dB | 5.2s
[077/200] train loss=0.005293 nmse=-17.0919dB | val loss=0.024302 nmse=-10.5731dB | 5.0s
[078/200] train loss=0.005236 nmse=-17.1389dB | val loss=0.024157 nmse=-10.6045dB | 5.2s
[079/200] train loss=0.005173 nmse=-17.1930dB | val loss=0.024152 nmse=-10.6015dB | 4.9s
[080/200] train loss=0.005112 nmse=-17.2425dB | val loss=0.024226 nmse=-10.5861dB | 5.7s
[081/200] train loss=0.005059 nmse=-17.2882dB | val loss=0.024415 nmse=-10.5507dB | 5.6s
[082/200] train loss=0.004991 nmse=-17.3472dB | val loss=0.024488 nmse=-10.5359dB | 4.9s
[083/200] train loss=0.004940 nmse=-17.3913dB | val loss=0.024676 nmse=-10.5066dB | 5.1s
[084/200] train loss=0.004893 nmse=-17.4329dB | val loss=0.024758 nmse=-10.4863dB | 4.9s
[085/200] train loss=0.004834 nmse=-17.4856dB | val loss=0.024477 nmse=-10.5394dB | 4.8s
[086/200] train loss=0.004781 nmse=-17.5327dB | val loss=0.024880 nmse=-10.4671dB | 4.4s
