=== LSTM | Case1 SC-wise | scenes=7000 | train=335,232 | val=110,720 ===
[001/200] train loss=0.017242 nmse=-11.9367dB | val loss=0.016373 nmse=-12.1641dB | 15.1s
  -> saved case1_split3_lstm_scene7000_best.pt | best@1: val nmse=-12.1641dB
[002/200] train loss=0.015933 nmse=-12.2796dB | val loss=0.016484 nmse=-12.1346dB | 15.0s
[003/200] train loss=0.015750 nmse=-12.3298dB | val loss=0.016615 nmse=-12.1004dB | 14.2s
[004/200] train loss=0.015443 nmse=-12.4152dB | val loss=0.016699 nmse=-12.0786dB | 14.8s
[005/200] train loss=0.014964 nmse=-12.5521dB | val loss=0.017100 nmse=-11.9754dB | 15.0s
[006/200] train loss=0.014284 nmse=-12.7541dB | val loss=0.017670 nmse=-11.8331dB | 15.0s
[007/200] train loss=0.013469 nmse=-13.0094dB | val loss=0.018247 nmse=-11.6935dB | 15.1s
[008/200] train loss=0.012657 nmse=-13.2793dB | val loss=0.018590 nmse=-11.6126dB | 14.9s
[009/200] train loss=0.011957 nmse=-13.5265dB | val loss=0.018893 nmse=-11.5423dB | 14.9s
[010/200] train loss=0.011342 nmse=-13.7559dB | val loss=0.019134 nmse=-11.4872dB | 14.1s
[011/200] train loss=0.010813 nmse=-13.9630dB | val loss=0.019385 nmse=-11.4306dB | 15.0s
[012/200] train loss=0.010348 nmse=-14.1541dB | val loss=0.019571 nmse=-11.3892dB | 14.9s
[013/200] train loss=0.009928 nmse=-14.3341dB | val loss=0.019548 nmse=-11.3944dB | 14.6s
[014/200] train loss=0.009549 nmse=-14.5030dB | val loss=0.020108 nmse=-11.2716dB | 14.4s
[015/200] train loss=0.009203 nmse=-14.6632dB | val loss=0.020293 nmse=-11.2319dB | 14.7s
[016/200] train loss=0.008885 nmse=-14.8160dB | val loss=0.020337 nmse=-11.2225dB | 15.1s
[017/200] train loss=0.008590 nmse=-14.9627dB | val loss=0.020331 nmse=-11.2238dB | 14.6s
[018/200] train loss=0.008325 nmse=-15.0990dB | val loss=0.020512 nmse=-11.1852dB | 15.1s
[019/200] train loss=0.008087 nmse=-15.2248dB | val loss=0.020548 nmse=-11.1776dB | 14.8s
[020/200] train loss=0.007864 nmse=-15.3459dB | val loss=0.020604 nmse=-11.1659dB | 15.0s
[021/200] train loss=0.007654 nmse=-15.4635dB | val loss=0.020655 nmse=-11.1551dB | 15.0s
[022/200] train loss=0.007439 nmse=-15.5874dB | val loss=0.020705 nmse=-11.1446dB | 15.1s
[023/200] train loss=0.007220 nmse=-15.7175dB | val loss=0.020766 nmse=-11.1318dB | 15.1s
[024/200] train loss=0.006999 nmse=-15.8525dB | val loss=0.021086 nmse=-11.0654dB | 14.9s
[025/200] train loss=0.006764 nmse=-16.0009dB | val loss=0.021247 nmse=-11.0324dB | 15.0s
[026/200] train loss=0.006518 nmse=-16.1617dB | val loss=0.021340 nmse=-11.0135dB | 14.9s
[027/200] train loss=0.006252 nmse=-16.3423dB | val loss=0.021529 nmse=-10.9752dB | 14.8s
[028/200] train loss=0.005977 nmse=-16.5380dB | val loss=0.021794 nmse=-10.9220dB | 14.7s
[029/200] train loss=0.005709 nmse=-16.7371dB | val loss=0.022196 nmse=-10.8425dB | 15.0s
[030/200] train loss=0.005459 nmse=-16.9317dB | val loss=0.022015 nmse=-10.8783dB | 14.9s
[031/200] train loss=0.005230 nmse=-17.1177dB | val loss=0.022157 nmse=-10.8503dB | 15.0s
[032/200] train loss=0.005023 nmse=-17.2926dB | val loss=0.022222 nmse=-10.8375dB | 15.0s
[033/200] train loss=0.004838 nmse=-17.4556dB | val loss=0.022066 nmse=-10.8682dB | 15.1s
[034/200] train loss=0.004667 nmse=-17.6121dB | val loss=0.022125 nmse=-10.8566dB | 15.2s
[035/200] train loss=0.004508 nmse=-17.7626dB | val loss=0.022332 nmse=-10.8161dB | 15.1s
[036/200] train loss=0.004369 nmse=-17.8989dB | val loss=0.022378 nmse=-10.8071dB | 15.5s
[037/200] train loss=0.004235 nmse=-18.0338dB | val loss=0.022326 nmse=-10.8173dB | 16.4s
[038/200] train loss=0.004111 nmse=-18.1627dB | val loss=0.022341 nmse=-10.8144dB | 15.2s
[039/200] train loss=0.003994 nmse=-18.2888dB | val loss=0.022090 nmse=-10.8634dB | 15.9s
[040/200] train loss=0.003885 nmse=-18.4085dB | val loss=0.022246 nmse=-10.8328dB | 15.3s
[041/200] train loss=0.003786 nmse=-18.5206dB | val loss=0.022389 nmse=-10.8050dB | 14.6s
[042/200] train loss=0.003687 nmse=-18.6363dB | val loss=0.022408 nmse=-10.8014dB | 15.5s
[043/200] train loss=0.003599 nmse=-18.7412dB | val loss=0.022347 nmse=-10.8133dB | 15.8s
[044/200] train loss=0.003514 nmse=-18.8448dB | val loss=0.022182 nmse=-10.8453dB | 15.5s
[045/200] train loss=0.003432 nmse=-18.9475dB | val loss=0.022381 nmse=-10.8065dB | 15.3s
[046/200] train loss=0.003351 nmse=-19.0511dB | val loss=0.022282 nmse=-10.8258dB | 14.9s
[047/200] train loss=0.003280 nmse=-19.1437dB | val loss=0.022330 nmse=-10.8164dB | 15.6s
[048/200] train loss=0.003211 nmse=-19.2358dB | val loss=0.022339 nmse=-10.8147dB | 15.7s
[049/200] train loss=0.003146 nmse=-19.3249dB | val loss=0.022393 nmse=-10.8042dB | 15.6s
[050/200] train loss=0.003082 nmse=-19.4148dB | val loss=0.022388 nmse=-10.8052dB | 15.7s
[051/200] train loss=0.003019 nmse=-19.5039dB | val loss=0.022512 nmse=-10.7812dB | 15.8s
[052/200] train loss=0.002955 nmse=-19.5970dB | val loss=0.022358 nmse=-10.8110dB | 15.9s
[053/200] train loss=0.002894 nmse=-19.6872dB | val loss=0.022307 nmse=-10.8210dB | 15.9s
[054/200] train loss=0.002838 nmse=-19.7725dB | val loss=0.022366 nmse=-10.8094dB | 15.1s
[055/200] train loss=0.002781 nmse=-19.8608dB | val loss=0.022513 nmse=-10.7810dB | 15.4s
[056/200] train loss=0.002725 nmse=-19.9483dB | val loss=0.022390 nmse=-10.8049dB | 14.9s
[057/200] train loss=0.002669 nmse=-20.0392dB | val loss=0.022460 nmse=-10.7913dB | 15.6s
[058/200] train loss=0.002617 nmse=-20.1252dB | val loss=0.022412 nmse=-10.8006dB | 15.7s
[059/200] train loss=0.002563 nmse=-20.2156dB | val loss=0.022340 nmse=-10.8145dB | 15.8s
[060/200] train loss=0.002512 nmse=-20.3030dB | val loss=0.022380 nmse=-10.8067dB | 15.9s
